iter	Passed	Remaining
407	2146	3114
408	2149	3105
409	2153	3098
410	2155	3089
411	2158	3080
412	2160	3070
413	2163	3062
414	2171	3060
415	2174	3052
416	2179	3047
417	2181	3037
418	2184	3029
419	2186	3019
420	2188	3010
421	2190	3000
422	2199	3000
423	2201	2991
424	2203	2981
425	2208	2976
426	2211	2967
427	2213	2958
428	2215	2948
429	2221	2944
430	2227	2940
431	2229	2931
432	2231	2921
433	2234	2913
434	2238	2907
435	2241	2899
436	2243	2890
437	2245	2881
438	2250	2875
439	2253	2867
440	2255	2859
441	2257	2850
442	2263	2845
443	2267	2839
444	2269	2830
445	2272	2822
446	2277	2817
447	2280	2810
448	2282	2801
449	2287	2796
450	2290	2788
451	2292	2779
452	2295	2772
453	2297	2763
454	2303	2759
455	2306	2751
456	2310	2745
457	2312	2736
458	2322	2737
459	2326	2730
460	2328	2722
461	2338	2723
462	2340	2714
463	2342	2706
464	2347	2700
465	2352	2695
466	2354	2687
467	2356	2679
468	2358	2670
469	2361	2663
470	2364	2655
471	2366	2647
472	2369	2640
473	2371	2632
474	2376	2626
475	2383	2623
476	2385	2615
477	2387	2607
478	2396	2606
479	2399	2599
480	2401	2591
481	2411	2591
482	2414	2584
483	2416	2576
484	2418	2568
485	2422	2562
486	2428	2558
487	2430	2550
488	2432	2542
489	2436	2535
490	2440	2530
491	2443	2523
492	2446	2515
493	2451	2510
494	2457	2506
495	2459	2499
496	2461	2491
497	2468	2488
498	2470	2480
499	2472	2472
500	2476	2466
501	2481	2461
502	2483	2454
503	2485	2446
504	2487	2438
505	2490	2431
506	2495	2426
507	2504	2425
508	2511	2422
509	2513	2415
510	2515	2407
511	2525	2407
512	2528	2400
513	2532	2394
514	2536	2388
515	2538	2381
516	2541	2374
517	2545	2368
518	2552	2365
519	2556	2359
520	2558	2352
521	2560	2344
522	2572	2346
523	2574	2338
524	2576	2330
525	2586	2330
526	2588	2323
527	2590	2315
528	2592	2308
529	2596	2302
530	2599	2295
531	2601	2288
532	2603	2281
533	2605	2273
534	2613	2271
535	2618	2266
536	2620	2259
537	2622	2251
538	2630	2249
539	2632	2242
540	2634	2235
541	2636	2228
542	2641	2223
543	2644	2216
544	2646	2209
545	2648	2202
546	2650	2195
547	2662	2196
548	2664	2188
549	2666	2181
550	2675	2180
551	2678	2173
552	2680	2166
553	2682	2159
554	2687	2154
555	2689	2147
556	2691	2140
557	2693	2133
558	2695	2126
559	2697	2119
560	2700	2113
561	2705	2108
562	2707	2101
563	2709	2094
564	2711	2087
565	2715	2082
566	2718	2075
567	2722	2070
568	2724	2063
569	2726	2056
570	2736	2055
571	2739	2049
572	2741	2042
573	2747	2039
574	2750	2032
575	2752	2026
576	2754	2019
577	2756	2012
578	2765	2011
579	2768	2004
580	2770	1998
581	2772	1991
582	2777	1986
583	2781	1981
584	2783	1974
585	2785	1968
586	2788	1962
587	2794	1958
588	2801	1955
589	2804	1949
590	2807	1943
591	2810	1937
592	2812	1930
593	2814	1923
594	2816	1917
595	2819	1911
596	2821	1904
597	2823	1898
598	2826	1891
599	2828	1885
600	2834	1881
601	2836	1875
602	2838	1868
603	2840	1862
604	2843	1856
605	2851	1853
606	2853	1847
607	2855	1841
608	2858	1835
609	2861	1829
610	2863	1823
611	2865	1816
612	2868	1810
613	2873	1806
614	2882	1804
615	2884	1798
616	2886	1791
617	2896	1790
618	2898	1784
619	2902	1779
620	2909	1775
621	2912	1769
622	2914	1763
623	2915	1757
624	2920	1752
625	2923	1746
626	2925	1740
627	2927	1733
628	2928	1727
629	2930	1721
630	2939	1719
631	2941	1712
632	2943	1706
633	2945	1700
634	2948	1694
635	2950	1688
636	2958	1685
637	2959	1679
638	2963	1673
639	2970	1670
640	2972	1664
641	2974	1658
642	2977	1652
643	2980	1647
644	2983	1641
645	2985	1635
646	2987	1630
647	2990	1624
648	2996	1620
649	2999	1615
650	3000	1608
651	3002	1602
652	3003	1596
653	3005	1590
654	3010	1585
655	3015	1581
656	3017	1575
657	3019	1569
658	3021	1563
659	3029	1560
660	3031	1554
661	3033	1548
662	3034	1542
663	3037	1537
664	3042	1532
665	3045	1527
666	3046	1521
667	3048	1515
668	3050	1509
669	3053	1504
670	3057	1499
671	3059	1493
672	3061	1487
673	3063	1481
674	3064	1475
675	3068	1470
676	3070	1465
677	3072	1459
678	3074	1453
679	3078	1448
680	3083	1444
681	3088	1440
682	3090	1434
683	3094	1429
684	3101	1426
685	3103	1420
686	3105	1415
687	3107	1409
688	3109	1403
689	3119	1401
690	3121	1395
691	3124	1390
692	3132	1387
693	3135	1382
694	3138	1377
695	3140	1371
696	3144	1366
697	3150	1363
698	3152	1357
699	3154	1352
700	3159	1347
701	3163	1342
702	3166	1337
703	3168	1332
704	3169	1326
705	3173	1321
706	3178	1317
707	3180	1311
708	3182	1306
709	3184	1300
710	3189	1296
711	3196	1293
712	3200	1288
713	3213	1287
714	3215	1281
715	3219	1277
716	3227	1273
717	3230	1268
718	3235	1264
719	3238	1259
720	3239	1253
721	3241	1248
722	3243	1242
723	3245	1237
724	3250	1232
725	3253	1227
726	3255	1222
727	3257	1216
728	3259	1211
729	3261	1206
730	3265	1201
731	3268	1196
732	3270	1191
733	3272	1185
734	3274	1180
735	3276	1175
736	3279	1170
737	3281	1165
738	3283	1159
739	3285	1154
740	3287	1148
741	3288	1143
742	3291	1138
743	3298	1135
744	3300	1129
745	3302	1124
746	3304	1119
747	3307	1114
748	3312	1109
749	3315	1105
750	3317	1100
751	3322	1095
752	3325	1090
753	3327	1085
754	3333	1081
755	3335	1076
756	3338	1071
757	3340	1066
758	3342	1061
759	3348	1057
760	3351	1052
761	3352	1047
762	3354	1041
763	3355	1036
764	3358	1031
765	3363	1027
766	3366	1022
767	3368	1017
768	3370	1012
769	3372	1007
770	3376	1002
771	3380	998
772	3381	993
773	3383	988
774	3385	982
775	3388	978
776	3393	973
777	3394	968
778	3397	963
779	3399	958
780	3404	954
781	3407	949
782	3409	944
783	3411	939
784	3413	934
785	3416	930
786	3420	925
787	3424	921
788	3426	916
789	3428	911
790	3438	908
791	3440	903
792	3442	898
793	3444	893
794	3448	889
795	3450	884
796	3453	879
797	3455	874
798	3457	869
799	3458	864
800	3466	861
801	3469	856
802	3471	851
803	3473	846
804	3481	843
805	3486	839
806	3488	834
807	3492	829
808	3497	825
809	3499	820
810	3501	816
811	3504	811
812	3509	807
813	3511	802
814	3513	797
815	3515	792
816	3517	787
817	3521	783
818	3524	778
819	3527	774
820	3529	769
821	3531	764
822	3535	760
823	3539	756
824	3542	751
825	3544	746
826	3556	743
827	3561	739
828	3567	735
829	3570	731
830	3572	726
831	3575	721
832	3578	717
833	3582	712
834	3587	708
835	3593	704
836	3597	700
837	3601	696
838	3618	694
839	3626	690
840	3633	687
841	3642	683
842	3645	678
843	3648	674
844	3652	670
845	3657	665
846	3660	661
847	3663	656
848	3669	652
849	3675	648
850	3736	654
851	3740	649
852	3744	645
853	3754	641
854	3756	637
855	3759	632
856	3761	627
857	3766	623
858	3770	618
859	3839	625
860	3842	620
861	3851	616
862	3855	611
863	3857	607
864	3860	602
865	3866	598
866	3869	593
867	3873	588
868	3890	586
869	3903	583
870	3907	578
871	3914	574
872	3925	571
873	3927	566
874	3929	561
875	3931	556
876	3934	551
877	3937	547
878	3942	542
879	3944	537
880	3946	533
881	3947	528
882	3976	526
883	3994	524
884	3996	519
885	4000	514
886	4004	510
887	4006	505
888	4008	500
889	4010	495
890	4012	490
891	4018	486
892	4020	481
893	4021	476
894	4023	472
895	4028	467
896	4031	462
